Total benefits (billions)
 programs  2014  2015  2016  2017    2018    2019    2020    2021    2022    2023    2024
       ss 849.2 901.7 935.5 976.7 1,049.1 1,124.0 1,203.6 1,283.0 1,372.0 1,468.1 1,570.3
      ssi  54.1  54.8  54.9  55.3    57.0    58.9    60.9    62.8    64.8    66.9    69.1
 medicaid 368.6 412.8 384.1 380.7   392.3   391.6   391.7   391.2   391.1   390.9   391.0
 medicare 576.1 602.5 629.9 667.9   718.3   777.9   841.7   907.1   978.5 1,056.2 1,135.8
       vb 146.8 152.3 158.2 159.0   159.8   160.7   161.7   162.7   163.8   164.9   166.2
     snap  83.0  82.6  79.0  79.0    79.0    79.0    79.0    79.0    79.0    79.0    79.0

Total participating tax units (millions)
 programs  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024
       ss  44.6  45.2  45.8  46.4  47.0  47.7  48.3  48.9  49.6  50.3  51.0
      ssi   6.8   6.8   6.8   6.8   6.8   6.9   6.9   6.9   7.0   7.0   7.0
 medicaid  27.9  29.7  30.1  30.5  30.9  31.3  31.8  32.2  32.6  33.0  33.3
 medicare  38.6  39.6  40.1  41.0  42.0  43.0  44.1  45.2  46.2  47.5  48.7
       vb   4.9   4.9   4.6   4.6   4.6   4.6   4.6   4.6   4.6   4.6   4.6
     snap  28.5  28.0  27.2  27.3  27.4  27.4  27.5  27.6  27.6  27.7  27.7

Total participants (millions)
 programs  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024
       ss  56.5  57.8  59.4  60.9  62.5  64.0  65.5  67.1  69.0  70.9  72.9
      ssi   7.6   7.5   7.5   7.5   7.5   7.6   7.6   7.6   7.7   7.7   7.8
 medicaid  52.4  56.4  58.1  59.2  60.2  61.2  62.2  63.0  63.8  64.5  65.1
 medicare  49.6  50.7  52.4  53.8  55.4  57.0  58.7  60.4  62.2  63.8  65.5
       vb   5.0   4.9   4.6   4.6   4.7   4.7   4.7   4.7   4.7   4.7   4.7
     snap  43.0  42.2  40.8  40.8  40.8  40.8  40.8  40.8  40.8  40.8  40.8

